waybill_sn,start_location,end_location,waybill_created_date,actual_eta,initial_eta,tri_punctuality_in_days
619438892,"SOUTH KEARNY TV, NJ","ATLANTA, GA",2023-07-07,-1,2,3
1087652210,"EDGERTON, IN","CANA, FL",2023-07-07,2,2,0
1087550549,"CHICAGO 47TH ST TV, IL","CHICAGO 47TH ST TV, IL",2023-07-07,6,4,-2
1087621552,"WARREN, PA","INWOOD, WV",2023-07-02,5,2,-3
3628757041,"CAROL, IN","FRANCISCO, IN",2023-07-07,3,5,2
3630200181,"WEST HAZLETON, PA","MARYLAND, LA",2023-07-07,8,5,-3
3630161133,"EDGERTON, IN","CANA, FL",2023-07-07,8,5,-3
3630104563,"MIAMI, FL","CHICAGO 47TH ST TV, IL",2023-07-07,5,5,0
1087595125,"PEDRICKTOWN, NJ","HOUSTON, TX",2023-07-07,1,3,2
3630062648,"LAMBERTS POINT, VA","WILLIAMSON YARD, WV",2023-07-07,7,9,2
1087685815,"CAREY, OH","DECATUR, IL",2023-07-07,-1,2,3
3630163656,"MERIDIAN, MS","RUTHERFORD, PA",2023-07-07,4,4,0
3630145789,"LOS ANGELES, CA","CHARLOTTE, NC",2023-07-07,9,6,-3
3630126727,"SHELBY, NC","CHARLOTTE, NC",2023-07-07,6,5,-1
1087530125,"LONG BEACH E PIER, CA","COLUMBUS, OH",2023-07-07,-2,1,3
1087567350,"AUSTELL, GA","LOS ANGELES, CA",2023-07-07,3,1,-2
3630212421,"VOLTZ MIX CTR, MO","MIAMI, FL",2023-07-07,1,2,1
3630215128,"SELMA, AL","QUINNESEC, MI",2023-07-07,2,1,-1
1087522449,"AUSTELL INTERMODAL, GA","PORTLAND, OR",2023-07-07,5,3,-2
3630080743,"HYCO, NC","BAILEY MINE, PA",2023-07-07,3,6,3
3630172809,"MARCUS, IA","ATLANTA, GA",2023-07-07,3,3,0
3630178253,"MELVINDALE, MI","KANSAS CITY, MO",2023-07-07,-1,1,2
3630203171,"LAMBERTS POINT, VA","TOMS CREEK, VA",2023-07-07,1,3,2
1087607281,"JESUS MARIA, SL","MELVINDALE, MI",2023-07-07,3,4,1
1087552583,"ST GABRIEL, LA","WEST HAZLETON, PA",2023-07-07,7,8,1
3630148614,"DECATUR, IL","DECATUR, IL",2023-07-07,0,2,2
3630084789,"NEW ORLEANS, LA","NEW ORLEANS, LA",2023-07-07,4,7,3
1087580976,"CROXTON, NJ","CHICAGO 47TH ST TV, IL",2023-07-07,8,6,-2
3630074190,"LOS ANGELES, CA","AUSTELL, GA",2023-07-07,1,4,3
3630148517,"DECATUR, IL","DECATUR, IL",2023-07-07,10,10,0
3630092180,"WELLSBORO, PA","WYEVILLE, WI",2023-07-07,6,6,0
1087639589,"TAFT, LA","INSTITUTE (KNWA), WV",2023-07-07,3,1,-2
1087544239,"ROSSER, GA","BARNESVILLE, GA",2023-07-07,8,7,-1
3630098746,"ASHEVILLE, NC","FALLON, NV",2023-07-07,8,6,-2
3630202913,"LAMBERTS POINT, VA","TOMS CREEK, VA",2023-07-02,5,4,-1
3628723458,"LAMBERTS POINT, VA","TOMS CREEK, VA",2023-07-07,7,7,0
3630126719,"DILLEY, TX","PICAYUNE, MS",2023-07-07,9,6,-3
3630109733,"LOUISVILLE, KY","LOUISVILLE, KY",2023-07-07,10,10,0
1087681552,"PELHAM, GA","NORTH MANCHESTER, IN",2023-07-07,2,5,3
1087607605,"MAPLE HEIGHTS, OH","NORFOLK INTERNATION, VA",2023-07-07,2,5,3
1087579551,"CROXTON, NJ","CHICAGO, IL",2023-07-07,-1,2,3
3630052871,"LEMOYNE, AL","MOBILE, AL",2023-07-07,3,4,1
1087689356,"CANNELTON (KNWA), WV","LAMBERTS POINT, VA",2023-07-07,10,9,-1
1087655747,"MORRISVILLE, PA","CHICAGO, IL",2023-07-07,1,4,3
3630105226,"CANTON, OH","UNION, SC",2023-07-07,4,6,2
3630118237,"COURTRIGHT, ON","BELEWS CREEK, NC",2023-07-07,8,10,2
1087621934,"CHICAGO, IL","APPLIANCE PARK, KY",2023-07-07,1,2,1
3630118889,"FARMERS VALLEY, PA","HOUSTON, TX",2023-07-07,7,9,2
3630194796,"FARMERS VALLEY, PA","WOODS CROSS, UT",2023-07-07,8,8,0
3630189539,"COLUMBIA CITY, IN","ST LOUIS, MO",2023-07-03,10,8,-2
3628888591,"WINSTON-SALEM, NC","WHITE PIGEON, MI",2023-07-07,8,10,2
3630074726,"ST GABRIEL, LA","WEST HAZLETON, PA",2023-07-07,6,9,3
3630217439,"KNOXVILLE, TN","ELDON, TX",2023-07-06,10,7,-3
1087199238,"LAMBERTS POINT, VA","TOMS CREEK, VA",2023-07-07,5,8,3
3630082321,"CHICAGO ASHLAND AVE, IL","DAKOTA CITY, NE",2023-07-07,6,8,2
3630174136,"EDGEMOOR, DE","CALVERT CITY, KY",2023-07-07,6,7,1
1087702308,"NEW ORLEANS, LA","NEW ORLEANS, LA",2023-07-07,8,10,2
3630113782,"CINCINNATI, OH","CINCINNATI, OH",2023-07-07,5,4,-1
3630054548,"CAROL, IN","FRANCISCO, IN",2023-07-07,2,2,0
3630204240,"ARCADE, NY","ABERDEEN, WA",2023-07-07,8,8,0
